duplicates, lib_size
7995331,
4870933,
8522824,
12579351,
13567519,
12866178,
5093307,
12446290,
11664755,
14082246,
11057237,
6334257,
5128934,
5251127,
16970887,
5660711,
9866233,
4937918,
7037189,
6324518,
4869717,
3970705,
10639379,
4267759,
4215046,
4066373,
5100887,
4387967,
13135093,
9396273,
5850450,
5836310,
5167505,
5259659,
6198784,
5001371,
8075963,
7152908,
5888432,
5378957,
7358496,
6644987,
4709803,
5967722,
6382175,
6038828,
5450729,
5304785,
5621627,
6409402,
7929004,
7083106,
6194342,
7297680,
5721590,
6148510,
4982368,
4678146,
6260881,
5014635,
10563689,
10537814,
5904984,
5737978,
